key,TOTAL_POP,TOTAL_MALE,TOTAL_FEMALE,SEX_RATIO,HH_SIZE,ENUMERATED_HH,QUICK_COUNT_HH,csv_pop_total,csv_pop_male,csv_pop_female,csv_hh_total,csv_sex_ratio,pop_diff,match_method,population,area_km2,density
26|00|14|313|203|068,976,416,560,74,4.9,198,220,976.0,416.0,560.0,198.0,74.29,0.0,code_match,976,0.41044458445665716,2377.9
26|00|14|313|301|128,227,111,116,96,4.4,52,85,227.0,111.0,116.0,52.0,95.69,0.0,code_match,227,0.35451267065304176,640.3
26|00|14|313|301|136,57,30,27,111,3.2,18,30,57.0,30.0,27.0,18.0,111.11,0.0,code_match,57,0.0674754667895235,844.8
26|00|14|313|303|128,395,193,202,96,4.2,94,110,395.0,193.0,202.0,94.0,95.54,0.0,code_match,395,0.2079464683841277,1899.5
26|00|14|313|343|068,508,259,249,104,4.7,107,120,508.0,259.0,249.0,107.0,104.02,0.0,code_match,508,0.17357066280550018,2926.8
26|00|14|313|343|148,1393,695,698,100,3.8,367,360,1393.0,695.0,698.0,367.0,99.57,0.0,code_match,1393,0.2787912771812707,4996.6
26|00|14|313|466|028,1419,791,628,126,3.4,416,244,1419.0,791.0,628.0,416.0,125.96,0.0,code_match,1419,0.4375537953428069,3243.0
26|00|14|313|466|208,2874,1465,1409,104,3.8,754,494,2874.0,1465.0,1409.0,754.0,103.97,0.0,code_match,2874,1.0132263463933504,2836.5
26|00|14|313|540|248,888,452,436,104,3.8,232,245,888.0,452.0,436.0,232.0,103.67,0.0,code_match,888,0.4076460136000935,2178.4
26|00|14|313|570|208,828,431,397,109,3.9,211,202,828.0,431.0,397.0,211.0,108.56,0.0,code_match,828,0.9292506480617546,891.0
26|00|14|313|570|268,1353,651,702,93,3.8,353,320,1353.0,651.0,702.0,353.0,92.74,0.0,code_match,1353,0.47595408850776255,2842.7
26|00|14|313|636|228,973,505,468,108,4.1,239,200,972.0,504.0,468.0,239.0,107.69,-1.0,code_match,973,0.1757701719261117,5535.6
26|00|14|313|636|308,2186,1228,958,128,4.5,488,403,2186.0,1228.0,958.0,488.0,128.18,0.0,code_match,2186,1.28525388952241,1700.8
26|00|14|313|711|348,534,283,251,113,4.0,134,120,534.0,283.0,251.0,134.0,112.75,0.0,code_match,534,0.4565746647901787,1169.6
26|00|14|413|030|056,2068,998,1070,93,3.9,525,561,2063.0,996.0,1067.0,525.0,93.35,-5.0,code_match,2068,1.170486071951209,1766.8
26|00|14|413|031|056,2122,1009,1113,91,3.7,567,480,2122.0,1009.0,1113.0,567.0,90.66,0.0,code_match,2122,1.4943698494820352,1420.0
26|00|14|413|036|065,78,37,41,90,3.4,23,25,78.0,37.0,41.0,23.0,90.24,0.0,code_match,78,0.2841563826363661,274.5
26|00|14|413|081|028,227,102,125,82,3.4,66,79,227.0,102.0,125.0,66.0,81.6,0.0,code_match,227,0.42195394308663176,538.0
